Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils,Year,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearanceRate,RuckHardBallGets,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage
Kade Simpson,Carlton,36,36.65,Gen. Defender,17,6.282,74.294,58.765,1.0,0.059,1,0.0,82.471,11.824,3.706,15.529,77.652,73.632,90.476,76.136,1.235,3.647,292.824,18.856,2.059,7.543,3.235,4.8,4.118,9.059,13.176,31.25,4.765,3.353,0.0,0.235,0.353,0.588,3.882,0.118,0.0,0.882,0.0,0.647,0.412,0.235,0.0,0.0,0.0,0.0,0.0,0.0,1.118,0.0,1.059,22.222,0.0,0.0,1,0.059,0.0,0.059,0.059,100.0,2.0,11.847,0.647,0.353,1.647,7.059,5.412,1.176,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc Murphy,Carlton,33,33.45,Midfielder,17,6.929,82.765,66.588,15.0,0.882,2,2.0,81.588,10.471,7.941,18.412,68.371,58.989,80.741,56.869,3.0,0.824,268.882,14.604,2.588,7.114,3.059,6.019,6.235,11.706,17.941,34.754,2.176,4.941,0.647,0.588,1.824,2.412,3.706,0.0,0.412,0.176,0.235,0.647,1.0,-0.353,0.0,0.0,0.0,0.0,0.0,0.0,2.176,0.412,0.059,100.0,0.235,25.0,4,0.235,0.412,0.765,0.412,30.769,4.294,25.436,0.706,0.235,0.647,14.941,6.412,0.176,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Kreuzer,Carlton,31,31.63,Ruck,1,3.2,33.0,16.0,0.0,0.0,0,0.0,21.0,0.0,1.0,1.0,100.0,0.0,100.0,0.0,0.0,0.0,-15.0,-15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,19.737,7.0,46.667,4.0,57.143,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,4.762,1.0,0.0,2.0,4.0,2.0,1.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ed Curnow,Carlton,31,31.14,Midfielder,17,10.612,95.412,77.647,18.0,1.059,3,5.0,87.588,12.471,6.353,18.824,58.125,48.113,77.778,66.25,3.765,1.647,307.059,16.312,3.0,6.275,4.529,4.156,9.059,9.176,18.235,49.677,2.706,6.765,0.824,1.765,2.412,4.176,2.471,0.176,0.059,0.353,0.176,0.765,1.059,-0.294,0.0,0.0,0.0,0.0,0.0,0.0,5.235,0.529,0.294,40.0,0.0,0.0,4,0.235,0.176,0.588,0.353,40.0,3.706,21.951,0.941,0.059,1.471,17.0,7.941,0.294,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lachie Plowman,Carlton,26,26.3,Gen. Defender,16,6.287,66.062,44.625,8.0,0.5,2,0.0,92.438,7.25,2.938,10.188,71.779,72.414,70.213,71.166,0.812,2.312,163.125,16.012,1.562,6.52,2.0,5.094,3.5,6.375,9.875,35.443,4.562,2.188,0.0,0.0,0.25,0.25,3.375,0.438,0.0,1.312,0.0,0.688,0.562,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.938,0.0,3.75,40.0,0.0,0.0,0,0.0,0.125,0.125,0.0,0.0,1.5,8.791,0.5,0.0,3.75,8.188,6.0,3.062,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Gibbons,Carlton,25,25.63,Gen. Forward,15,6.7,74.733,61.267,3.0,0.2,2,4.0,80.533,9.6,4.2,13.8,61.836,54.167,79.365,69.565,3.267,0.467,293.333,21.256,2.533,5.447,3.333,4.14,4.533,9.467,14.0,32.381,0.867,3.267,0.867,0.2,1.333,1.533,3.4,0.067,0.8,0.067,0.6,0.667,0.933,-0.267,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.8,0.067,0.0,0.8,25.0,11,0.733,0.4,1.4,0.667,52.381,4.333,25.391,0.6,0.267,1.067,16.0,5.733,0.4,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Petrevski-Seton,Carlton,22,22.86,Gen. Defender,16,7.712,74.688,54.125,8.0,0.5,1,0.0,78.5,9.688,3.875,13.562,74.194,70.968,82.258,71.429,0.875,2.375,167.188,12.327,1.75,7.75,2.25,6.028,5.875,7.562,13.438,43.721,5.312,5.062,0.0,0.188,0.75,0.938,3.062,0.062,0.0,0.688,0.0,0.625,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.375,16.667,0.0,0.0,0,0.0,0.0,0.0,0.125,0.0,1.938,11.314,0.812,0.0,0.938,9.75,6.688,0.75,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sydney Stack,Richmond,20,20.67,Mid-Forward,9,4.078,51.667,37.0,0.0,0.0,0,0.0,70.111,3.333,6.889,10.222,73.913,66.667,77.419,32.609,1.222,0.444,135.111,13.217,3.111,3.286,2.444,4.182,4.667,6.556,11.222,41.584,2.778,3.556,0.889,0.222,0.444,0.667,1.667,0.0,0.444,0.0,0.0,0.556,1.667,-1.111,0.0,0.0,0.0,0.0,0.0,0.0,2.778,0.111,0.111,100.0,0.111,100.0,2,0.222,0.222,0.556,0.111,40.0,3.222,17.365,0.667,0.0,0.778,15.889,6.778,0.333,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Riewoldt,Richmond,32,32.16,Key Forward,21,6.519,62.286,47.81,10.0,0.476,2,2.0,92.095,6.476,1.762,8.238,55.491,50.0,75.676,78.613,1.857,0.095,174.381,21.168,2.333,3.531,2.381,3.46,4.048,4.048,8.095,50.0,0.524,1.667,1.143,0.0,0.238,0.238,3.571,1.286,2.143,0.048,0.952,0.667,0.714,-0.048,1.095,1.622,0.095,8.696,0.0,0.0,1.286,0.667,0.0,0.0,3.762,30.38,33,1.571,0.952,3.0,0.476,52.381,4.0,21.762,0.19,0.0,1.476,9.429,1.81,0.857,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane Edwards,Richmond,32,32.18,Midfielder,10,13.54,86.0,58.1,18.0,1.8,3,1.0,79.9,7.8,9.4,17.2,71.512,61.538,79.787,45.349,2.9,0.5,244.1,14.192,2.1,8.19,4.0,4.3,7.7,9.0,16.7,46.108,1.4,5.3,0.6,2.2,2.6,4.8,1.0,0.1,0.0,0.2,0.0,0.8,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.4,0.0,0.0,0.0,0.0,5,0.5,0.1,0.7,0.8,71.429,4.1,23.563,0.6,0.5,1.6,14.2,7.0,0.1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
