Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearances,CentreClearanceRate,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Mitch Lewis,Hawthorn,26,26.21,Key Forward,1,7.7,53,43,0,0,0,70,4,3,7,57.143,50,66.667,57.143,0,0,68,9.714,2,3.5,2,3.5,5,2,7,71.429,0,3,2,0,3,4,2,0,1,0,0,0,0,,1,1,4,2,2,0,0,0,1,-1,0,0,0,,0,,0,1,0,0,,2,0,2,2,0,3,1,66.667,3,21.429,0,3,4.53,-0.53,2,5.413,0.587,1,2.764,-2.764,0,0,,0,2,5,2,1
Seamus Mitchell,Hawthorn,22,22.49,Gen. Defender,1,0.8,39,48,0,0,0,77,7,5,12,50,28.571,80,58.333,2,0,148,12.333,6,2,4,3,5,7,12,41.667,6,3,0,0,3,4,2,0,1,4,0,0,0,,0,0,4,1,0,2,0,0,1,-1,0,0,0,,0,,0,2,0,2,50,0,,0,0,0,0,0,,1,7.143,1,0,,,0,,,0,,,0,0,,1,3,10,9,2
Tew Jiath,Collingwood,20,20.83,Gen. Defender,1,4.4,24,27,0,0,0,61,4,1,5,100,100,100,80,1,1,149,29.8,2,2.5,1,5,1,4,5,20,3,0,0,0,0,1,0,0,0,2,0,0,0,,0,0,2,0,0,2,0,1,2,-1,0,0,0,,0,,0,3,0,0,,0,,0,0,0,0,1,,3,10.345,1,0,,,0,,,0,,,0,0,,0,0,11,9,0
Leek Aleer,Greater Western Sydney,24,24.36,Key Defender,1,-0.3,24,10,0,0,0,76,2,4,6,66.667,0,100,33.333,0,1,48,8,5,1.2,2,3,2,3,5,40,1,2,0,0,2,1,1,0,1,2,0,0,0,,1,1,0,0,0,0,0,0,4,-4,0,0,0,,0,,0,2,0,0,,0,,0,0,0,0,0,,0,0,0,0,,,0,,,0,,,0,0,,0,5,5,4,5
Sebastian Ross,St Kilda,32,32.65,Midfielder,1,4.1,52,47,0,0,0,80,6,4,10,60,50,75,60,1,1,131,13.1,1,10,4,2.5,5,5,10,50,4,4,0,2,2,4,4,1,0,2,9,23.684,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,,0,,0,3,0,1,0,0,,0,0,0,0,0,,3,11.538,1,0,,,0,,,0,,,0,0,,1,1,8,6,1
Harry Schoenberg,Adelaide,24,24.85,Gen. Forward,1,7.3,38,29,0,0,0,45,3,6,9,55.556,0,83.333,33.333,1,0,123,13.667,1,9,0,,5,4,9,55.556,1,4,1,1,3,3,3,1,3,4,3,11.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,2,1,0,,0,,0,0,0,0,0,,3,17.647,0,0,,,0,,,0,,,0,0,,0,1,12,5,0
Kieran Strachan,Adelaide,30,30.23,Ruck,1,5.3,72,80,0,0,0,79,7,5,12,75,71.429,80,58.333,1,0,46,3.833,1,12,2,6,4,7,11,36.364,2,2,0,0,2,1,0,0,0,4,22,81.481,0,0,2,2,3,0,0,1,1,3,1,2,82,83.673,16,19.512,3,18.75,0,6,0,0,,0,,0,0,0,0,0,,1,5.882,1,0,,,0,,,0,,,0,0,,0,2,12,5,2
Brandon Ellis,Gold Coast,32,32.41,Midfielder,1,4.7,25,27,0,0,0,28,4,3,7,71.429,75,66.667,57.143,0,0,119,17,0,,1,7,1,6,7,14.286,1,1,0,0,1,1,1,0,1,5,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,1,0,1,1,0,1,0,100,3,20,0,1,1.728,4.272,0,,,1,1.728,4.272,0,0,,0,0,4,3,0
William Hamill,Adelaide,25,25.12,Gen. Defender,1,11.1,60,46,0,0,0,83,7,5,12,83.333,85.714,80,58.333,1,2,221,18.417,1,12,4,3,7,6,13,53.846,6,6,0,0,6,6,5,0,2,4,0,0,0,,1,1,3,1,0,1,0,1,1,0,0,0,0,,0,,0,2,0,0,,0,,0,0,0,0,0,,3,10.345,1,0,,,0,,,0,,,0,0,,0,2,11,8,2
Max King,St Kilda,25,25.48,Key Forward,1,-2.1,33,30,0,0,0,89,4,6,10,80,50,100,40,1,0,84,8.4,4,2.5,3,3.333,4,8,12,33.333,0,3,3,0,3,3,2,0,1,4,0,0,0,,0,0,3,1,0,0,0,1,2,-1,0,0,0,,0,,0,0,0,0,,2,0,0,0,2,2,0,0,4,20,0,2,4.052,-3.052,0,,,2,4.052,-3.052,0,0,,0,2,3,0,2
Tom Campbell,Melbourne,34,34.16,Ruck,1,5.2,26,36,0,0,0,40,3,3,6,50,0,100,50,1,1,94,15.667,1,6,2,3,2,4,6,33.333,1,2,1,0,2,2,2,0,0,0,10,50,0,0,0,0,3,0,0,0,0,0,0,0,22,33.846,8,36.364,3,37.5,0,1,0,0,,0,,0,0,0,0,0,,1,5,1,0,,,0,,,0,,,0,0,,0,2,6,4,2
