Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearances,CentreClearanceRate,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Harvey Harrison,Collingwood,22,22.13,Gen. Forward,1,-1.7,8,15,0,0,0,74,2,2,4,75,50,100,50,1,0,99,24.75,3,1.333,3,1.333,1,3,4,25,1,1,0,0,1,1,1,0,1,3,0,0,0,,0,0,0,0,0,0,0,0,1,-1,0,0,0,,0,,0,2,0,0,,0,,0,0,0,0,0,,1,4.348,0,0,,,0,,,0,,,0,0,,0,0,21,7,0
Peter Wright,Essendon,29,29.31,Key Forward,1,6.2,42,39,0,0,0,60,2,5,7,71.429,50,80,28.571,1,0,44,6.286,2,3.5,1,7,3,5,8,37.5,0,1,0,0,1,2,1,0,1,3,7,24.138,1,14.286,0,1,1,0,0,0,0,1,0,1,24,30.38,11,45.833,4,36.364,0,2,0,0,,1,0,0,0,0,0,0,,2,13.333,0,0,,,0,,,0,,,0,0,,0,2,7,3,1
Darragh Joyce,Brisbane,28,28.69,Key Defender,1,1.8,28,22,0,0,0,95,5,0,5,80,80,,100,0,2,81,16.2,0,,0,,0,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,0,1,0,1,0,0,,0,0,0,0,0,,1,3.125,0,0,,,0,,,0,,,0,0,,0,5,3,3,5
Caiden Cleary,Sydney,20,20.82,Gen. Forward,1,3.3,35,50,0,0,0,91,7,9,16,50,14.286,77.778,43.75,3,0,199,12.438,3,5.333,2,8,7,8,15,46.667,3,7,0,1,6,4,4,0,1,5,4,12.121,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,,0,,0,1,0,0,,1,0,0,0,1,1,0,0,6,19.355,1,1,2.184,-1.184,0,,,1,2.184,-1.184,0,0,,0,0,18,5,0
Aaron Francis,Sydney,28,28.39,Key Defender,1,1.7,37,55,0,0,0,90,8,1,9,77.778,75,100,88.889,1,3,225,25,2,4.5,2,4.5,1,8,9,11.111,2,1,0,0,1,1,1,0,1,0,0,0,0,,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,,0,2,0,2,0,0,,0,0,0,0,0,,3,9.677,1,0,,,0,,,0,,,0,0,,0,6,4,4,6
Elliott Himmelberg,Gold Coast,27,27.57,Key Forward,1,1.3,15,13,0,0,0,50,2,1,3,66.667,50,100,66.667,2,1,44,14.667,1,3,2,1.5,1,3,4,25,0,0,0,0,0,1,0,0,0,3,4,12.903,0,0,0,0,1,1,0,0,0,0,1,-1,19,18.095,5,26.316,1,20,0,0,0,0,,0,,0,0,0,0,0,,1,5.556,0,0,,,0,,,0,,,0,0,,0,1,5,1,0
Brayden Cook,Adelaide,23,23.45,Gen. Forward,1,3.7,39,29,0,0,0,78,3,5,8,75,66.667,80,37.5,0,1,84,10.5,0,,0,,3,5,8,37.5,1,3,1,0,3,3,3,0,0,3,0,0,0,,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,,0,1,0,0,,1,0,0,0,0,0,0,,1,5.556,0,0,,,0,,,0,,,0,0,,0,2,7,5,2
Luke Edwards,West Coast,23,23.96,Mid-Forward,1,7.3,46,41,0,0,0,68,5,7,12,83.333,60,100,41.667,2,0,125,10.417,3,4,1,12,4,7,11,36.364,0,3,1,0,3,4,3,0,1,5,2,6.452,1,50,0,1,1,0,0,0,0,1,0,1,0,0,0,,0,,0,2,0,0,,0,,0,0,0,0,1,,5,25,0,0,,,0,,,0,,,0,0,,0,0,9,7,0
Jai Culley,Melbourne,22,22.84,Mid-Forward,1,7.8,61,46,0,0,0,60,5,2,7,42.857,40,50,71.429,1,1,124,17.714,1,7,1,7,6,3,9,66.667,3,6,1,2,4,3,3,0,0,1,11,35.484,0,0,3,3,1,0,0,0,0,1,1,0,0,0,0,,0,,0,5,1,0,,0,,1,1,0,1,0,100,1,5,1,1,2.763,3.237,0,,,1,2.763,3.237,0,0,,0,0,19,11,0
Josh Rotham,West Coast,27,27.84,Gen. Defender,1,0.4,26,33,0,0,0,86,5,1,6,66.667,60,100,83.333,0,1,97,16.167,1,6,3,2,1,4,5,20,0,1,0,0,1,1,1,0,1,0,0,0,0,,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,,0,1,0,0,,0,,0,0,0,0,0,,0,0,0,0,,,0,,,0,,,1,14.286,100,0,2,8,6,2
