Player,Team,JumperNumber,Age,Age_Decimal,Height,Position,DebutYear,Matches_Career,Goals_Total_Career,Matches_Finals,Goals_Total_Finals,Matches_Current,Goals_Total_Current,RatingPoints_Career,Supercoach_Career,Disposals_Career,ContestedPossessions_Career,Goals_Career,RatingPoints_Recent,Supercoach_Recent,Disposals_Recent,ContestedPossessions_Recent,Goals_Recent
Alex Neal-Bullen,Adelaide,28,29,29.97,182,Gen. Forward,2015,178,119,10,7,2,3,9.46,71.713,15.809,6.124,0.669,11.045,83.4,18.9,7.1,0.4
Ben Keays,Adelaide,2,28,28.85,185,Gen. Forward,2016,138,97,0,,2,5,10.413,83.022,19.659,8.254,0.703,11.33,87.65,17.1,7.4,1.6
Billy Dowling,Adelaide,31,21,21.5,187,Midfielder,2024,9,4,0,,0,,6.5,66.778,17,6,0.444,6.5,66.778,17,6,0.444
Brayden Cook,Adelaide,15,23,23.45,189,Gen. Forward,2021,27,15,0,,0,,5.5,46.704,10.37,3.296,0.556,6.13,47.4,9.7,3.05,0.7
Brodie Smith,Adelaide,33,33,33.96,194,Gen. Defender,2011,262,71,8,4,0,,10.677,78.29,19.592,5.206,0.271,7.355,67.35,18.55,4.95,0
Charlie Edwards,Adelaide,11,20,20.62,191,Midfielder,,0,,,,0,,,,,,,,,,,
Chayce Jones,Adelaide,1,25,25.96,180,Midfielder,2019,92,23,0,,0,,6.762,54.576,13.054,4.978,0.25,8.105,59.5,14.4,5.5,0.35
Chris Burgess,Adelaide,21,30,30.09,193,Key Forward,2019,43,21,0,,0,,6.151,51.814,8.349,4.605,0.488,5.96,54.7,8.15,4.65,0.55
Daniel Curtin,Adelaide,6,20,20.81,197,Gen. Forward,2024,9,4,0,,2,1,5.611,37.444,8.222,3.333,0.444,5.611,37.444,8.222,3.333,0.444
Darcy Fogarty,Adelaide,32,26,26.26,192,Key Forward,2018,104,165,0,,2,7,8.557,61.269,9.779,4.644,1.587,11.125,71.5,11.4,4.7,2.2
Harry Schoenberg,Adelaide,26,24,24.85,180,Gen. Forward,2020,61,22,0,,0,,7.692,61.426,15.639,6.541,0.361,7.355,54.05,13.8,5.7,0.3
Hugh Bond,Adelaide,40,21,21.26,185,Gen. Defender,2024,7,0,0,,0,,7.086,46.429,7.857,4.714,0,7.086,46.429,7.857,4.714,0
Isaac Cumming,Adelaide,44,27,27.38,188,Midfielder,2018,83,12,7,2,2,2,9.229,80,19.024,4.831,0.145,8.08,66.5,14,4.55,0.55
Izak Rankine,Adelaide,23,25,25.69,179,Mid-Forward,2020,85,126,0,,2,4,11.213,75.447,14.388,7.424,1.482,16.42,97.05,18.2,9.75,1.85
Jake Soligo,Adelaide,14,22,22.93,179,Midfielder,2022,62,25,0,,2,3,9.795,75.5,18.435,8.129,0.403,11.545,88.05,23.2,10.25,0.4
James Borlase,Adelaide,35,23,23.45,192,Key Defender,2023,14,1,0,,0,,6.979,61.143,9.786,4.143,0.071,6.979,61.143,9.786,4.143,0.071
James Peatling,Adelaide,25,25,25.36,186,Mid-Forward,2021,47,17,3,3,2,1,6.826,56.213,12.085,5.298,0.362,8.945,68.3,14.3,7.4,0.35
Jordan Dawson,Adelaide,12,28,28.72,190,Midfielder,2017,133,62,1,0,2,2,12.278,99.316,22.338,6.609,0.466,14.28,106.45,24.85,7.45,0.55
Jordon Butts,Adelaide,41,26,26,195,Key Defender,2020,75,0,0,,0,,5.909,51.16,9.6,3.387,0,6.17,49.1,9.1,3,0
Josh Rachele,Adelaide,8,22,22.72,180,Gen. Forward,2022,58,76,0,,2,6,9.016,66.052,14.052,5.138,1.31,10.49,68.3,14.35,5,1.55
Josh Worrell,Adelaide,24,24,24.72,195,Key Defender,2021,32,0,0,,2,0,8.956,77.688,15.969,5.938,0,9.45,82.1,17.2,5.65,0
Karl Gallagher,Adelaide,36,23,23.85,185,Gen. Forward,,0,,,,0,,,,,,,,,,,
Kieran Strachan,Adelaide,45,30,30.23,202,Ruck,2020,7,1,0,,0,,7.557,73.429,11.143,6,0.143,7.557,73.429,11.143,6,0.143
Lachlan McAndrew,Adelaide,42,25,25.6,210,Ruck,2023,2,0,0,,0,,4.6,38,6,4,0,4.6,38,6,4,0
Lachlan Murphy,Adelaide,4,27,27.07,178,Gen. Forward,2018,115,75,0,,0,,7.464,57.852,11.696,5.548,0.652,8.075,58.35,12.1,5.9,0.4
Lachlan Sholl,Adelaide,38,25,25.81,186,Midfielder,2020,76,26,0,,2,1,7.141,69.855,17.947,4.842,0.342,8.355,85.15,21.7,5.65,0.6
Luke Nankervis,Adelaide,27,22,22.6,189,Gen. Defender,2023,24,1,0,,0,,7.287,68.25,16.417,4.792,0.042,7.775,71,17,5.05,0.05
Luke Pedlar,Adelaide,10,23,23.62,183,Gen. Forward,2021,30,27,0,,0,,5.58,45.567,9.867,4.533,0.9,5.92,49.15,10.6,5.25,1
Mark Keane,Adelaide,48,25,25.79,194,Key Defender,2020,33,0,0,,2,0,9.3,70.788,15.576,4.909,0,9.405,73.85,16.15,5.1,0
Matt Crouch,Adelaide,5,30,30.69,181,Midfielder,2014,160,31,7,2,2,1,10.939,96.787,28.387,11.05,0.194,13.03,105.8,30.1,12.65,0.1
