Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearances,CentreClearanceRate,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Joel Smith,Melbourne,26,26.84,Gen. Defender,7,4.743,35.857,28.286,0,0,0,0,58.714,4.286,2.571,6.857,75,66.667,88.889,62.5,0.571,1.143,85.143,12.417,2.571,2.667,1.429,4.8,3.429,3.429,6.857,50,4,2.286,0,1,1.286,3.429,2.286,0,1,1.714,0,0,0,,0,0,2,0.714,0,1,0,0.429,1,-0.571,0,0,0,,0,,0,1.714,0,1.571,27.273,0,,0,0,0,0,0,,0.429,1.685,0.429,0,,,0,,,0,,,0,0,,0,4,5.429,4.857,3.286
Angus Brayshaw,Melbourne,26,26.97,Gen. Defender,24,10.129,98.25,97.333,34,1.417,9,7,83.167,16.708,8.792,25.5,70.588,67.581,76.303,65.523,2.958,3.583,418.792,16.423,3.083,8.27,5.25,4.857,7.75,17.833,25.583,30.293,6.875,6.125,0.167,1.5,4.625,5.167,4.167,0.417,1.917,9.958,4.167,16,0.333,8,1.542,1.875,7.083,0.5,0,2.208,0.083,0.583,0.583,0,0,0,0,,0,,0,2.25,0.083,0.792,31.579,0.125,33.333,2,0.083,0.042,0.208,0.125,40,3.667,15.068,1.125,5,2.279,0.321,0,,,5,2.279,0.321,0.125,1.37,100,0.167,1.5,10.625,6.583,1.083
Mitch Hannan,Western Bulldogs,28,28.81,Gen. Defender,7,6.1,48.286,47.857,0,0,0,0,75.571,7.571,3.286,10.857,73.684,71.698,78.261,69.737,1.571,1.714,231.143,21.289,2.714,4,3.286,3.304,4.429,6.571,11,40.26,2.714,3.286,0.714,0.714,2.571,4,2.857,0,1.429,2.571,0.143,0.508,0,0,0.286,0.286,3.429,0.143,0.286,0.429,0.571,0.857,0.429,0.429,2.857,3.284,0.571,20,0.143,25,0,1.143,0,0.429,33.333,0.286,0,4,0.571,0.143,0.714,0.429,80,2.571,11.688,0.429,5,3.434,1.566,2,4.652,-1.152,3,2.622,3.379,0.714,6.579,60,0.143,1.429,10.143,5.429,1.286
Hayden Crozier,Western Bulldogs,29,29.01,Gen. Defender,5,6.44,49.6,50.2,0,0,0,0,63.2,8.6,3.4,12,83.333,81.395,88.235,71.667,1.4,2.4,255.6,21.3,2,6,2.2,5.455,2.6,9.6,12.2,21.311,3.2,1.6,0,0.6,1,2.2,1.2,0,0.6,4.6,0,0,0,,0.2,0.2,5,0.4,0,1.4,0,0.4,1,-0.6,0,0,0,,0,,0,1,0.2,1.6,25,0.2,0,1,0.2,0,0.2,0,100,1.8,8.036,0.6,1,2.511,3.489,0,,,1,2.511,3.489,0.2,1.786,100,0.2,2.2,5,3.2,2
Lochie O'Brien,Carlton,23,23.28,Midfielder,19,5.416,64.368,70.421,0,0,0,0,80.421,12.526,5.211,17.737,68.546,65.966,74.747,70.623,3.158,1.947,364.053,20.525,2.737,6.481,3.895,4.554,3.474,14.474,17.947,19.355,2.316,2.474,0.474,0.526,1.947,2.474,1.684,0.211,1.053,8.263,0,0,0.105,,0.632,0.737,5.158,0.105,0.316,0.263,0.316,0.947,0.579,0.368,0.053,0.059,0,0,0,,0,1.421,0.211,0.526,40,0.211,50,5,0.263,0.474,0.895,0.632,29.412,3.947,16.269,0.632,17,2.77,-0.476,5,3.611,-0.611,12,2.42,-0.42,0.105,1.087,50,0.105,1.105,11.368,5.158,0.789
Oscar McDonald,Carlton,26,26.78,Key Defender,2,8.25,55.5,49.5,0,0,0,0,73,9,3,12,70.833,61.111,100,75,0,2,127,10.583,2,6,2.5,4.8,5,7,12,41.667,6.5,2.5,0,0,2.5,5,2.5,0,1,1.5,0,0,0,,0,0,5,0.5,0,2,0,1.5,0,1.5,0,0,0,,0,,0,0,0,3.5,28.571,0,,0,0,0,0,0,,2,7.547,1.5,0,,,0,,,0,,,0,0,,0,4.5,4.5,3,3.5
Thomas Williamson,Carlton,24,24.05,Gen. Defender,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,,,0,,,0,,,0,0,,0,0,0,0,0
Josh Gibcus,Richmond,19,19.74,Key Defender,18,7.094,53.667,39.111,0,0,0,0,83.611,5.5,3.667,9.167,76.97,77.778,75.758,60,0.667,2.389,141.611,15.448,1.944,4.714,1.944,4.714,3.5,5.889,9.389,37.278,4.056,1.889,0.111,0.389,1.5,3.444,1.889,0.056,0.667,2.5,0,0,0,,0.056,0.056,3.444,0.611,0.111,1.278,0.167,0.611,0.611,0,0.778,0.951,0.222,28.571,0.111,50,0,1.222,0,2.611,21.277,0.056,100,3,0.167,0.056,0.222,0.167,75,1.889,7.203,0.944,4,2.483,2.267,3,2.565,1.769,1,2.239,3.761,0.167,1.422,100,0,6.389,6.611,4.722,5.722
Jack Riewoldt,Richmond,34,34.16,Key Forward,21,8.738,70.952,62.619,2,0.095,1,1,88,8.19,2.81,11,60.606,55.814,74.576,74.459,2.952,0.095,245.429,22.312,3.286,3.348,3.19,3.448,5.571,6,11.571,48.148,0.81,2.619,1.333,1,1.619,5.286,2.381,0,0.762,1.667,0.19,0.649,0,0,0.333,0.333,4.952,1.381,2.571,0.095,1.476,0.905,1.333,-0.429,0.905,1.073,0.19,21.053,0.048,25,0,1.905,1.19,0,,3.762,27.848,40,1.905,1.429,3.857,0.571,49.383,5.952,22.686,0.429,81,3.217,0.116,62,3.262,0.367,19,3.072,-0.703,0,0,,0.048,2.333,9.19,1.81,1.048
Shane Edwards,Richmond,34,34.18,Mid-Forward,22,9.386,60.5,49.864,0,0,0,0,75.227,7.045,6.182,13.227,76.632,69.677,84.559,53.265,2.182,0.545,206.636,15.622,1.545,8.559,1.773,7.462,4.591,8.364,12.955,35.439,1.682,3.545,1.273,0.455,3.091,3.273,2.727,0.318,1.091,5.364,3.318,11.214,0.5,15.068,0.682,1.182,2.318,0.091,0.273,0.182,0.136,0.5,0.455,0.045,0,0,0,,0,,0,1.455,0.318,0.045,100,0.409,11.111,15,0.682,0.364,1.091,0.864,62.5,4.5,17.368,0.727,24,3.603,0.48,7,3.401,-0.972,17,3.686,1.078,0,0,,0.182,0.727,10.682,3.364,0.136
