Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearances,CentreClearanceRate,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Keidean Coleman,Brisbane,24,24.75,Gen. Defender,1,8.5,37,34,0,0,0,0,44,6,2,8,87.5,83.333,100,75,2,1,141,17.625,0,,0,,2,6,8,25,2,2,0,0,2,1,1,0,0,2,0,0,0,,0,0,4,0,1,2,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,,0,0,0,0,2,,4,16,2,0,,,0,,,0,,,1,12.5,0,0,0,1,1,0
Lincoln McCarthy,Brisbane,31,31.19,Gen. Forward,8,7.963,63,61.5,0,0,0,0,70.875,9.25,3,12.25,62.245,59.459,70.833,75.51,2.625,0.25,229.25,18.714,2,6.125,2.375,5.158,5.25,7.25,12.5,42,1.125,3,1.25,1,2,4,2.125,0.25,0.875,3,0,0,0.375,,0.5,0.875,3.75,0.5,1.125,0.125,0.625,0.75,0.625,0.125,0,0,0,,0,,0,2.625,0.75,0,,1,37.5,8,1,1.125,2.375,0.625,42.105,5.375,23.118,0.25,19,2.739,0.261,10,3.043,0.457,9,2.401,0.044,0,0,,0.125,1.625,13.875,2.75,0.5
Josh Gibcus,Richmond,21,21.74,Key Defender,2,8.75,47.5,25.5,0,0,0,0,64.5,3.5,1.5,5,80,85.714,66.667,70,0.5,2,109.5,21.9,0.5,10,1,5,4.5,0.5,5,90,4.5,2.5,0,0,2.5,4.5,2.5,0,1.5,0.5,0,0,0,,0,0,1,1,0,1,0,1,0,1,0,0,0,,0,,0,2,0,3.5,42.857,0,,0,0,0,0,0,,0.5,2.778,0.5,0,,,0,,,0,,,0,0,,0,6,6.5,5.5,5.5
Tylar Young,Richmond,26,26.32,Key Defender,9,4.822,43.778,39.111,0,0,0,0,86.222,7,2.111,9.111,78.049,76.19,84.211,76.829,1,3.333,200.444,22,2.667,3.417,2.778,3.28,2,6.889,8.889,22.5,3.667,1.111,0,0.222,0.889,2,1.111,0,0.444,2,0,0,0,,0,0,4.556,0.556,0,1.444,0.111,0.333,1.222,-0.889,0,0,0,,0,,0,0.889,0,2.667,41.667,0,,0,0,0,0,0,,0.556,3.125,0.111,0,,,0,,,0,,,0.111,0.901,100,0.111,4.111,4.889,4.222,3.667
Dylan Grimes,Richmond,33,33.46,Key Defender,5,3.64,40.8,29.4,0,0,0,0,79.6,4.8,3.6,8.4,73.81,79.167,66.667,57.143,0,1.6,66,7.857,3,2.8,2,4.2,3.4,4.6,8,42.5,4.8,2.6,0,0.6,2,3.2,2.4,0,0.6,1.2,0,0,0,,0,0,3.6,0.8,0.2,1.8,0,0,1.6,-1.6,0,0,0,,0,,0,0.4,0,2.6,46.154,0.2,0,0,0,0.2,0.2,0,0,1.2,6.061,0.4,1,4.192,-3.192,1,4.192,-3.192,0,,,0.2,1.613,0,0,4.6,7.4,6.8,3.2
Sam Naismith,Richmond,32,32.46,Ruck,3,5.767,60.667,47.667,0,0,0,0,67.333,3,5.667,8.667,65.385,55.556,70.588,34.615,0.333,0.333,65.333,7.538,1.667,5.2,2,4.333,5.667,3.667,9.333,60.714,0.667,1.667,0.333,0.333,1.333,1.333,1,0,0.333,1,9,37.5,0.333,3.704,3,3.333,2.667,0.333,0.667,0.333,0.667,1.667,1,0.667,32,41.921,12.667,39.583,3.667,28.947,1.667,2,0.333,0,,0.667,0,0,0,0,0.667,0,0,2.667,15.686,1,2,2.064,-2.064,2,2.064,-2.064,0,,,0,0,,0,4.333,9,2.667,4
Tom Mitchell,Collingwood,31,31.58,Midfielder,6,8.833,81.5,77.833,7,1.167,2,0,66.667,6.167,13.833,20,70.833,62.162,74.699,30.833,1.667,0.5,145.833,7.292,3.5,5.714,3.5,5.714,10.333,10,20.333,50.82,2.833,6.667,0.833,2.333,4.333,4.333,3.5,1.5,2,7.667,17.167,58.857,1.667,9.709,2.667,4.333,1.833,0.167,0.333,0.333,0,1.833,1.167,0.667,0,0,0,,0,,0,6.667,0.833,0,,0,,1,0.167,0.167,0.5,0.167,33.333,3.833,15.033,1.667,3,3.488,-1.154,2,3.782,-3.282,1,2.899,3.101,0,0,,0,0.5,20.167,8.833,0
Callum Coleman-Jones,North Melbourne,25,25.55,Key Forward,3,4.067,34,26,0,0,0,0,49.667,2,4,6,83.333,100,75,33.333,0.667,0,49.333,8.222,0.667,9,1.667,3.6,3.333,3.667,7,47.619,1,1.333,0.333,0,1.333,2.667,1.333,0,0,1.667,3.333,10,0,0,0,0,2.333,0.667,0,0.333,0.333,1,0.333,0.667,8.333,10.121,3.667,44,1,27.273,0.333,0.333,0.333,0,,1.333,50,0,0,0,0,0.667,,2.667,13.559,1,0,,,0,,,0,,,0,0,,0,1,3.333,0.667,0.333
Josh Goater,North Melbourne,21,21.58,Gen. Defender,1,4.9,42,32,0,0,0,0,73,7,3,10,90,85.714,100,70,0,4,143,14.3,3,3.333,2,5,3,7,10,30,3,2,0,1,1,3,2,0,1,5,0,0,0,,0,0,2,0,0,0,0,1,2,-1,0,0,0,,0,,0,1,0,3,33.333,0,,0,0,0,0,0,,1,5.882,1,0,,,0,,,0,,,0,0,,0,4,10,9,3
Chris Burgess,Adelaide,29,29.09,Key Forward,7,4.043,49,45.857,0,0,0,0,73.286,5.143,2.571,7.714,62.963,63.889,61.111,66.667,1.571,0.143,133.714,17.333,1.429,5.4,1.571,4.909,3.429,4,7.429,46.154,1.143,2,0.714,0.857,1.143,2.857,1.714,0.143,0.286,1,2.571,10.465,0.143,5.556,0.143,0.286,3.143,0.571,1.571,0.286,0.429,0.714,0.571,0.143,13.714,14.907,4.857,35.417,1.714,35.294,0,1.286,0.286,0,,2.571,11.111,7,1,0.857,2.143,0.571,46.667,3.571,17.123,0.429,15,3.845,-0.645,10,4.163,-0.163,5,3.209,-1.609,0,0,,0,1,9.571,2.143,0.857
